Brands,Mileage
Apollo,32.998
Apollo,36.435
Apollo,32.777
Apollo,37.637
Apollo,36.304
Apollo,35.915
Apollo,34.7
Apollo,32.379
Apollo,33.631
Apollo,36.419
Apollo,36.43
Apollo,34.836
Apollo,38.328
Apollo,30.623
Apollo,32.575
Bridgestone,33.523
Bridgestone,31.995
Bridgestone,35.006
Bridgestone,27.879
Bridgestone,31.297
Bridgestone,31.062
Bridgestone,34.838
Bridgestone,33.976
Bridgestone,32.552
Bridgestone,30.881
Bridgestone,28.144
Bridgestone,29.184
Bridgestone,33.075
Bridgestone,32.365
Bridgestone,30.925
CEAT,34.4456498808749
CEAT,32.8065811516262
CEAT,33.4149893917138
CEAT,36.8611766884671
CEAT,36.9727672389126
CEAT,35.0814498332203
CEAT,34.9541220384816
CEAT,33.4751589359409
CEAT,30.427483065935
CEAT,36.1339200264977
CEAT,34.7833594132784
CEAT,36.1167474740346
CEAT,41.05
CEAT,32.1684525689223
CEAT,32.7262431962434
Falken,39.596
Falken,38.937
Falken,36.124
Falken,37.695
Falken,36.586
Falken,35.967
Falken,36.737
Falken,34.31
Falken,40.252
Falken,37.382
Falken,40.663
Falken,37.095
Falken,38.005
Falken,37.756
Falken,37.265
